"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","georeference"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","metrocard","Metrocard - Fair Fare","7.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","metrocard","Metrocard - Full Fare","11.0","1.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","metrocard","Metrocard - Other","1.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","metrocard","Metrocard - Seniors & Disability","2.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","3.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","10.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","omny","OMNY - Fair Fare","1.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","omny","OMNY - Full Fare","58.0","3.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","omny","OMNY - Other","3.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","omny","OMNY - Seniors & Disability","4.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","183","Rockaway Av (C)","Brooklyn","omny","OMNY - Students","15.0","0.0","40.67834","-73.91195","POINT (-73.91195 40.67834)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","metrocard","Metrocard - Fair Fare","3.0","0.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","metrocard","Metrocard - Full Fare","6.0","0.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","metrocard","Metrocard - Other","1.0","0.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","1.0","0.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","4.0","0.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","omny","OMNY - Full Fare","17.0","1.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","omny","OMNY - Other","2.0","0.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","omny","OMNY - Seniors & Disability","1.0","0.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","185","Liberty Av (C)","Brooklyn","omny","OMNY - Students","7.0","0.0","40.67454","-73.896545","POINT (-73.896545 40.67454)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","metrocard","Metrocard - Fair Fare","4.0","0.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","metrocard","Metrocard - Full Fare","5.0","0.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","metrocard","Metrocard - Other","1.0","0.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","metrocard","Metrocard - Seniors & Disability","3.0","0.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","5.0","0.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","8.0","0.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","omny","OMNY - Fair Fare","1.0","0.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","omny","OMNY - Full Fare","20.0","1.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","186","Van Siclen Av (C)","Brooklyn","omny","OMNY - Students","3.0","0.0","40.67271","-73.89036","POINT (-73.89036 40.67271)"
"2025-03-31T18:00:00.000","subway","187","Shepherd Av (C)","Brooklyn","metrocard","Metrocard - Fair Fare","6.0","0.0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"2025-03-31T18:00:00.000","subway","187","Shepherd Av (C)","Brooklyn","metrocard","Metrocard - Full Fare","8.0","0.0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"2025-03-31T18:00:00.000","subway","187","Shepherd Av (C)","Brooklyn","metrocard","Metrocard - Other","3.0","0.0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"2025-03-31T18:00:00.000","subway","187","Shepherd Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","3.0","0.0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"2025-03-31T18:00:00.000","subway","187","Shepherd Av (C)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","1.0","0.0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"2025-03-31T18:00:00.000","subway","187","Shepherd Av (C)","Brooklyn","omny","OMNY - Full Fare","14.0","0.0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"2025-03-31T18:00:00.000","subway","187","Shepherd Av (C)","Brooklyn","omny","OMNY - Other","1.0","0.0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"2025-03-31T18:00:00.000","subway","187","Shepherd Av (C)","Brooklyn","omny","OMNY - Students","3.0","0.0","40.67413","-73.88075","POINT (-73.88075 40.67413)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","metrocard","Metrocard - Fair Fare","14.0","1.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","metrocard","Metrocard - Full Fare","14.0","2.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","metrocard","Metrocard - Other","14.0","1.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","metrocard","Metrocard - Seniors & Disability","9.0","4.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","11.0","0.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","19.0","0.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
"2025-03-31T18:00:00.000","subway","188","Euclid Av (A,C)","Brooklyn","omny","OMNY - Fair Fare","1.0","0.0","40.675377","-73.87211","POINT (-73.87211 40.675377)"
